OFFICE,PROPERTY_ADDRESS,CITY,STATE,ZIP_POSTAL_CODE,ACTUAL_CLOSE_DATE,SALES_ID
0004,1305 Elkhorn Drive,Arlington,NE,68002,5/20/2022,262
0001,Lot 3 River Ridge Estates,Arlington,NE,68002,6/10/2022,74
0001,105 North 13th Street,Ashland,NE,68003,7/22/2022,223
0001,105 North 13th Street,Ashland,NE,68003,7/22/2022,97
0005,1244 W Ridge Way,Ashland,NE,68003,11/18/2022,322
0001,1250 S 8th Street,Ashland,NE,68003,4/1/2022,92
0004,1260 W Ridge Way,Ashland,NE,68003,7/18/2022,322
0001,1363 / 1401 Fairway Circle,Ashland,NE,68003,11/14/2022,322
0004,1374 South 8th Street,Ashland,NE,68003,11/10/2022,490
0004,148 South 32nd Street,Ashland,NE,68003,3/11/2022,10052
0004,1567 E Ridge Way,Ashland,NE,68003,7/1/2022,322
0005,157 Eagle View Drive,Ashland,NE,68003,4/22/2022,353
0005,1647 E Ridge Way,Ashland,NE,68003,11/10/2022,322
0005,1658 East Ridge Way,Ashland,NE,68003,12/15/2022,322
0004,1662 E Ridge Way,Ashland,NE,68003,8/2/2022,322
0005,1682 E Ridge Way,Ashland,NE,68003,5/10/2022,322
0003,2142 Dawes Street,Ashland,NE,68003,3/15/2022,350
0004,2842 Furnas Street,Ashland,NE,68003,10/25/2022,74
0004,2842 Furnas Street,Ashland,NE,68003,10/25/2022,74
0001,365 County Road 4,Ashland,NE,68003,3/28/2022,64
0003,441 Birch Street,Ashland,NE,68003,9/16/2022,10045
0001,542 Elm Street,Ashland,NE,68003,8/5/2022,477
0004,627 Kingfisher Circle,Ashland,NE,68003,8/24/2022,64
0001,633 Cottonwood Circle,Ashland,NE,68003,9/30/2022,335
0004,642 Whitetail Run Circle,Ashland,NE,68003,2/18/2022,477
0001,"723,809,815,821 South Lakeview Way",Ashland,NE,68003,5/19/2022,322
0003,759 Whitetail Run Cir,Ashland,NE,68003,3/31/2022,10023
0005,802 S Lakeview Way,Ashland,NE,68003,11/15/2022,322
0005,802 S Lakeview Way,Ashland,NE,68003,11/15/2022,322
0005,814 S Lakeview Way,Ashland,NE,68003,11/15/2022,322
0005,832 Oxbow Drive,Ashland,NE,68003,10/24/2022,322
0005,903 S Lakeview Way,Ashland,NE,68003,5/19/2022,322
0001,909 South Lakeview Way,Ashland,NE,68003,5/19/2022,322
0001,915 South Lakeview Way,Ashland,NE,68003,5/19/2022,322
0004,Lot 8 Starns Valley Vista,Ashland,NE,68003,9/23/2022,92
0004,Lot 8 Starns Valley Vista,Ashland,NE,68003,9/23/2022,64
0004,Lot 8 Starns Valley Vista,Ashland,NE,68003,1/31/2022,64
0001,2909 Halifax Drive,Bellevue,NE,68123,4/15/2022,92
0001,1000 Claudene Court,Bellevue,NE,68005,7/29/2022,10056
0001,10007 S 9th Court,Bellevue,NE,68123,4/29/2022,250
0004,1001 Colorado Street,Bellevue,NE,68005,2/1/2022,160
0005,10011 South 9th Circle,Bellevue,NE,68123,10/12/2022,223
0001,10013 South 14th Street,Bellevue,NE,68123,4/29/2022,269
0004,1002 Martin Drive,Bellevue,NE,68005,11/1/2022,384
0004,1002 Martin Drive,Bellevue,NE,68005,11/1/2022,74
0004,1007 Julius Place,Bellevue,NE,68005,9/29/2022,475
0001,1010 Kountze Memorial Drive,Bellevue,NE,68005,7/11/2022,250
0005,1012 Grandview Ave,Bellevue,NE,68005,3/29/2022,334
0005,10505 S 25th Avenue,Bellevue,NE,68123,9/7/2022,10002
0001,10508 Lewis And Clark Road,Bellevue,NE,68123,7/28/2022,10010
0001,10605 South 25th Avenue,Bellevue,NE,68123,6/28/2022,10002
0005,108 E Sarpy Avenue,Bellevue,NE,68005,1/31/2022,104
0001,10808 Winding River,Bellevue,NE,68123,2/10/2022,384
0001,11004 Lewis and Clark Road,Bellevue,NE,68123,4/14/2022,10002
0004,11005 South 25th Avenue,Bellevue,NE,68123,9/30/2022,279
0001,1104 Colorado St,Bellevue,NE,68005,7/1/2022,10018
0005,1107 Offutt Boulevard,Bellevue,NE,68005,4/8/2022,209
0005,111 Hillside Drive,Bellevue,NE,68005,7/26/2022,10028
0005,111 Hillside Drive,Bellevue,NE,68005,7/26/2022,223
0005,113 Hillside Drive,Bellevue,NE,68005,6/1/2022,223
0005,11314 S 44th Street,Bellevue,NE,68123,10/20/2022,309
0001,115 Valley View Drive,Bellevue,NE,68005,7/15/2022,10015
0001,115 Valley View Drive,Bellevue,NE,68005,7/15/2022,296
0005,11613 LIlley Lane,Bellevue,NE,68123,9/30/2022,223
0001,11822 South 34th Street,Bellevue,NE,68123,8/1/2022,10059
0005,1210 West 14th Avenue,Bellevue,NE,68005,5/23/2022,10002
0005,122 Westridge Avenue,Bellevue,NE,68005,5/20/2022,370
0005,122 Westridge Avenue,Bellevue,NE,68005,5/20/2022,95
0001,12730 Ridgeview Circle,Bellevue,NE,68127,4/20/2022,10015
0004,12903 S 44th Avenue,Bellevue,NE,68133,3/24/2022,160
0004,1302 Main Street,Bellevue,NE,68005,12/9/2022,74
0001,1304 Terry Drive,Bellevue,NE,68123,2/8/2022,426
